[2023-11-22 17:45:55,514] Epoch 1, Loss 0.059802453964948654
[2023-11-22 17:46:10,015] Epoch 2, Loss 0.001209756126627326
[2023-11-22 17:46:20,622] Epoch 3, Loss 0.0016634154599159956
[2023-11-22 17:46:34,186] Epoch 4, Loss 0.0023483692202717066
[2023-11-22 17:46:52,950] Epoch 5, Loss 8.12036418914795
[2023-11-22 17:47:12,220] Epoch 6, Loss 0.002010847209021449
[2023-11-22 17:47:26,499] Epoch 7, Loss 0.0024911945220083
[2023-11-22 17:47:40,722] Epoch 8, Loss 0.0032730514649301767
[2023-11-22 17:47:53,973] Epoch 9, Loss 6.39176607131958
[2023-11-22 17:48:05,484] Epoch 10, Loss 0.013533192686736584
[2023-11-22 17:48:25,254] Epoch 11, Loss 0.08630379289388657
[2023-11-22 17:48:36,987] Epoch 12, Loss 0.2521297037601471
[2023-11-22 17:48:42,917] Epoch 13, Loss 0.07742561399936676
[2023-11-22 17:48:58,333] Epoch 14, Loss 0.053319789469242096
[2023-11-22 17:49:04,139] Epoch 15, Loss 0.1814274936914444
[2023-11-22 17:49:13,787] Epoch 16, Loss 0.8241680264472961
[2023-11-22 17:49:22,489] Epoch 17, Loss 0.13718241453170776
[2023-11-22 17:49:30,705] Epoch 18, Loss 0.25147145986557007
[2023-11-22 17:49:35,561] Epoch 19, Loss 0.1001405343413353
[2023-11-22 17:49:54,193] Epoch 20, Loss 0.005878299009054899
[2023-11-22 17:50:04,459] Epoch 21, Loss 0.01591966114938259
[2023-11-22 17:50:14,027] Epoch 22, Loss 0.3655804991722107
[2023-11-22 17:50:17,825] Epoch 23, Loss 0.17314493656158447
[2023-11-22 17:50:20,856] Epoch 24, Loss 0.10384313017129898
[2023-11-22 17:50:33,221] Epoch 25, Loss 0.033484019339084625
[2023-11-22 17:50:41,421] Epoch 26, Loss 0.023780757561326027
[2023-11-22 17:50:50,091] Epoch 27, Loss 0.024949753656983376
[2023-11-22 17:50:53,369] Epoch 28, Loss 0.09139063209295273
[2023-11-22 17:50:58,354] Epoch 29, Loss 0.02503245510160923
[2023-11-22 17:51:08,313] Epoch 30, Loss 0.09214980900287628
[2023-11-22 17:51:11,176] Epoch 31, Loss 0.019561637192964554
[2023-11-22 17:51:27,258] Epoch 32, Loss 4.666609764099121
[2023-11-22 17:51:43,579] Epoch 33, Loss 0.032610662281513214
[2023-11-22 17:51:52,741] Epoch 34, Loss 0.013975289650261402
[2023-11-22 17:51:55,452] Epoch 35, Loss 0.06022064760327339
[2023-11-22 17:52:01,012] Epoch 36, Loss 0.050463248044252396
[2023-11-22 17:52:09,276] Epoch 37, Loss 0.12568233907222748
[2023-11-22 17:52:20,499] Epoch 38, Loss 0.017335176467895508
[2023-11-22 17:52:25,779] Epoch 39, Loss 1.080487608909607
[2023-11-22 17:52:41,348] Epoch 40, Loss 0.10178568959236145
[2023-11-22 17:52:48,434] Epoch 41, Loss 0.5043542385101318
[2023-11-22 17:53:01,519] Epoch 42, Loss 0.17671118676662445
[2023-11-22 17:53:10,983] Epoch 43, Loss 0.28705111145973206
[2023-11-22 17:53:24,412] Epoch 44, Loss 0.28936296701431274
[2023-11-22 17:53:38,559] Epoch 45, Loss 0.5398960113525391
[2023-11-22 17:53:45,336] Epoch 46, Loss 0.14130659401416779
[2023-11-22 17:53:59,167] Epoch 47, Loss 0.09742390364408493
[2023-11-22 17:54:07,525] Epoch 48, Loss 0.3336539566516876
[2023-11-22 17:54:10,531] Epoch 49, Loss 0.23732858896255493
[2023-11-22 17:54:21,555] Epoch 50, Loss 0.8672417402267456
[2023-11-22 17:54:31,333] Epoch 51, Loss 0.46434134244918823
[2023-11-22 17:54:51,766] Epoch 52, Loss 0.5226508378982544
[2023-11-22 17:54:56,792] Epoch 53, Loss 0.22443726658821106
[2023-11-22 17:55:08,596] Epoch 54, Loss 0.27038678526878357
[2023-11-22 17:55:15,357] Epoch 55, Loss 0.1273784637451172
[2023-11-22 17:55:21,206] Epoch 56, Loss 0.15312989056110382
[2023-11-22 17:55:27,776] Epoch 57, Loss 0.6460089683532715
[2023-11-22 17:55:37,897] Epoch 58, Loss 0.11447326838970184
[2023-11-22 17:55:45,718] Epoch 59, Loss 0.6829074025154114
[2023-11-22 17:56:00,560] Epoch 60, Loss 0.5383083820343018
[2023-11-22 17:56:14,465] Epoch 61, Loss 0.21749109029769897
[2023-11-22 17:56:21,920] Epoch 62, Loss 0.2369750589132309
[2023-11-22 17:56:25,055] Epoch 63, Loss 0.47261935472488403
[2023-11-22 17:56:40,277] Epoch 64, Loss 0.27638566493988037
[2023-11-22 17:56:48,900] Epoch 65, Loss 0.36559054255485535
[2023-11-22 17:57:03,471] Epoch 66, Loss 0.06027684360742569
[2023-11-22 17:57:16,795] Epoch 67, Loss 0.10081763565540314
[2023-11-22 17:57:36,605] Epoch 68, Loss 0.04902970790863037
[2023-11-22 17:57:46,089] Epoch 69, Loss 0.01978112757205963
[2023-11-22 17:57:56,027] Epoch 70, Loss 2.017754077911377
[2023-11-22 17:58:11,815] Epoch 71, Loss 1.0826523303985596
[2023-11-22 17:58:27,943] Epoch 72, Loss 0.05876266583800316
[2023-11-22 17:58:34,017] Epoch 73, Loss 0.12950631976127625
[2023-11-22 17:58:45,679] Epoch 74, Loss 0.1457318216562271
[2023-11-22 17:58:54,947] Epoch 75, Loss 0.07137122750282288
[2023-11-22 17:59:05,616] Epoch 76, Loss 0.06857358664274216
[2023-11-22 17:59:09,735] Epoch 77, Loss 0.7341552376747131
[2023-11-22 17:59:18,963] Epoch 78, Loss 0.36801236867904663
[2023-11-22 17:59:23,169] Epoch 79, Loss 0.28109443187713623
[2023-11-22 17:59:28,240] Epoch 80, Loss 0.39132946729660034
[2023-11-22 17:59:31,961] Epoch 81, Loss 0.10964399576187134
[2023-11-22 17:59:43,925] Epoch 82, Loss 1.670673131942749
[2023-11-22 17:59:50,680] Epoch 83, Loss 0.2556091248989105
[2023-11-22 17:59:56,409] Epoch 84, Loss 0.3895339071750641
[2023-11-22 18:00:01,672] Epoch 85, Loss 0.09069188684225082
[2023-11-22 18:00:08,409] Epoch 86, Loss 0.07207849621772766
