[2023-12-06 12:01:30,664] Filepath does not exist: _dens/models/best.h5
[2023-12-06 12:01:30,664] Initializing new model
[2023-12-06 12:01:43,793] Epoch: 1, MSE: 0.8341501951217651, Reward: -1, LR: 0.01000
[2023-12-06 12:01:57,848] Epoch: 2, MSE: 0.9115477800369263, Reward: 1, LR: 0.00990
[2023-12-06 12:02:10,837] Epoch: 3, MSE: 0.787229061126709, Reward: -1, LR: 0.00980
[2023-12-06 12:02:22,939] Epoch: 4, MSE: 0.8880393505096436, Reward: 1, LR: 0.00970
[2023-12-06 12:02:34,437] Epoch: 5, MSE: 0.8567628264427185, Reward: 1, LR: 0.00961
[2023-12-06 12:02:47,011] Epoch: 6, MSE: 0.8193642497062683, Reward: -1, LR: 0.00951
[2023-12-06 12:03:03,965] Epoch: 7, MSE: 0.8338682055473328, Reward: -1, LR: 0.00941
[2023-12-06 12:03:15,900] Epoch: 8, MSE: 0.7940365076065063, Reward: 1, LR: 0.00932
[2023-12-06 12:03:27,320] Epoch: 9, MSE: 0.7894450426101685, Reward: 1, LR: 0.00923
[2023-12-06 12:03:49,740] Epoch: 10, MSE: 0.7880667448043823, Reward: 1, LR: 0.00914
[2023-12-06 12:04:09,671] Epoch: 11, MSE: 0.7752028703689575, Reward: 1, LR: 0.00904
[2023-12-06 12:04:24,575] Epoch: 12, MSE: 0.7617506384849548, Reward: 1, LR: 0.00895
[2023-12-06 12:04:36,654] Epoch: 13, MSE: 0.8947391510009766, Reward: -1, LR: 0.00886
[2023-12-06 12:04:52,264] Epoch: 14, MSE: 0.7502212524414062, Reward: 1, LR: 0.00878
[2023-12-06 12:05:11,736] Epoch: 15, MSE: 0.9136687517166138, Reward: -1, LR: 0.00869
[2023-12-06 12:05:27,248] Epoch: 16, MSE: 0.8911402821540833, Reward: -1, LR: 0.00860
[2023-12-06 12:05:40,902] Epoch: 17, MSE: 0.8849844932556152, Reward: -1, LR: 0.00851
[2023-12-06 12:06:01,064] Epoch: 18, MSE: 0.7790930867195129, Reward: 1, LR: 0.00843
[2023-12-06 12:06:17,398] Epoch: 19, MSE: 0.8447620272636414, Reward: -1, LR: 0.00835
